n,height,H(n)/2n,H(n)/2√n,H(n)/2Lg(n)
2000,25.0,0.00625,0.2795084971874737,1.1399093467016153
4000,27.0,0.003375,0.2134537420613656,1.1282168956784966
6000,30.0,0.0025,0.19364916731037085,1.1951480064492408
8000,29.0,0.0018125,0.16211492836873476,1.1183280302721694
10000,31.0,0.00155,0.155,1.1664912331979271
12000,32.0,0.0013333333333333333,0.1460593486680443,1.1807467332544865
14000,33.0,0.0011785714285714286,0.13945045203020523,1.1979839709998659
16000,32.0,0.001,0.12649110640673517,1.1456571055284013
18000,34.0,9.444444444444445E-4,0.1267105187249881,1.2026280150449355
20000,35.0,8.75E-4,0.12374368670764581,1.2248286874145382
22000,34.0,7.727272727272727E-4,0.11461397661875115,1.1784918932209327
24000,34.0,7.083333333333334E-4,0.10973452814254347,1.1683249149161967
26000,34.0,6.538461538461538E-4,0.1054295244008272,1.1591258933963344
28000,36.0,6.428571428571428E-4,0.10757057484009543,1.218427562898246
30000,35.0,5.833333333333334E-4,0.10103629710818451,1.1766545117727734
